model,n,log_loss,brier,rps,exact_nll,ece_home,accuracy
negative_binomial,1844,0.8580134406463169,0.5038410840081013,0.3294424552353061,2.8398170740495607,0.01970057186321148,0.5992407809110629
dixon_coles,1844,0.8580164955742031,0.503842903255772,0.32945088429397335,2.8398991584485738,0.02073374181528247,0.5997830802603037
logreg,1844,0.9941460681518882,0.5937446568016056,0.41298017099688544,,0.028119835585938523,0.5244034707158352
gbm,1844,1.019919201121578,0.6064183788469335,0.4214185882543372,,0.038406860404281686,0.5075921908893709
baseline_uniform,1844,1.0986122886681096,0.6666666666666667,0.47583755121716076,,0.13792480115690536,0.4712581344902386
